date,country,H,I,S,M,D
2021-04-01,Angola,265,80,0,0,0
2021-04-02,Angola,217,128,0,0,0
2021-04-03,Angola,172,173,0,0,0
2021-04-04,Angola,151,194,0,0,0
2021-04-05,Angola,127,218,0,0,0
2021-04-06,Angola,108,157,42,38,0
2021-04-07,Angola,94,123,68,60,0
2021-04-08,Angola,84,88,96,77,0
2021-04-09,Angola,76,75,106,88,0
2021-04-10,Angola,65,62,119,99,0
2021-04-11,Angola,54,54,129,108,0
2021-04-12,Angola,52,42,134,117,0
2021-04-13,Angola,42,42,137,124,0
2021-04-14,Angola,39,37,139,130,0
2021-04-15,Angola,38,27,146,134,0
2021-04-16,Angola,37,17,152,139,0
2021-04-17,Angola,33,19,152,141,0
2021-04-18,Angola,31,11,154,149,0
2021-04-19,Angola,30,9,155,151,0
2021-04-20,Angola,28,10,156,151,0
2021-04-21,Angola,24,13,114,189,5
2021-04-22,Angola,21,12,91,213,8
2021-04-23,Angola,19,12,65,236,13
2021-04-24,Angola,15,15,55,246,14
2021-04-25,Angola,13,15,43,259,15
2021-04-26,Angola,13,11,35,269,17
2021-04-27,Angola,13,8,33,274,17
2021-04-28,Angola,13,6,30,279,17
2021-04-29,Angola,12,3,29,284,17
2021-04-30,Angola,12,1,23,292,17
2021-05-01,Angola,11,2,17,297,18
2021-05-02,Angola,11,2,17,297,18
2021-05-03,Angola,10,3,15,299,18
2021-05-04,Angola,9,3,14,301,18
2021-05-05,Angola,9,3,13,302,18
2021-05-06,Angola,9,2,14,302,18
2021-05-07,Angola,8,3,11,305,18
2021-05-08,Angola,7,3,9,308,18
2021-05-09,Angola,7,2,10,308,18
2021-05-10,Angola,7,2,9,309,18
2021-05-11,Angola,4,5,7,311,18
2021-05-12,Angola,4,4,5,314,18
2021-05-13,Angola,4,3,5,315,18
2021-05-14,Angola,4,3,4,316,18
2021-05-15,Angola,4,3,3,317,18
2021-05-16,Angola,3,1,5,318,18
2021-05-17,Angola,3,1,5,318,18
2021-05-18,Angola,2,2,5,318,18
2021-05-19,Angola,2,2,5,318,18
2021-05-20,Angola,2,2,5,318,18
2021-05-21,Angola,2,1,5,319,18
2021-05-22,Angola,2,1,5,319,18
2021-05-23,Angola,2,0,6,319,18
2021-05-24,Angola,2,0,5,320,18
2021-05-25,Angola,2,0,5,320,18
2021-05-26,Angola,1,1,5,320,18
2021-05-27,Angola,1,1,4,321,18
2021-05-28,Angola,1,1,4,321,18
2021-05-29,Angola,1,1,4,321,18
2021-05-30,Angola,1,1,4,321,18
2021-05-31,Angola,1,0,2,324,18
2021-06-01,Angola,1,0,2,324,18
2021-06-02,Angola,1,0,2,324,18
2021-06-03,Angola,1,0,2,324,18
2021-06-04,Angola,1,0,2,324,18
2021-06-05,Angola,1,0,1,325,18
2021-06-06,Angola,0,1,1,325,18
2021-06-07,Angola,0,1,0,326,18
2021-06-08,Angola,0,1,0,326,18
2021-06-09,Angola,0,1,0,326,18
2021-06-10,Angola,0,1,0,326,18
2021-06-11,Angola,0,0,0,327,18
2021-06-12,Angola,0,0,0,327,18
2021-06-13,Angola,0,0,0,327,18
2021-06-14,Angola,0,0,0,327,18
2021-06-15,Angola,0,0,0,327,18
2021-06-16,Angola,0,0,0,327,18
2021-06-17,Angola,0,0,0,327,18
2021-06-18,Angola,0,0,0,327,18
2021-06-19,Angola,0,0,0,327,18
2021-06-20,Angola,0,0,0,327,18
2021-06-21,Angola,0,0,0,327,18
2021-06-22,Angola,0,0,0,327,18
2021-06-23,Angola,0,0,0,327,18
2021-06-24,Angola,0,0,0,327,18
2021-06-25,Angola,0,0,0,327,18
2021-06-26,Angola,0,0,0,327,18
2021-06-27,Angola,0,0,0,327,18
2021-06-28,Angola,0,0,0,327,18
2021-06-29,Angola,0,0,0,327,18
2021-06-30,Angola,0,0,0,327,18
2021-07-01,Angola,0,0,0,327,18
2021-07-02,Angola,0,0,0,327,18
2021-07-03,Angola,0,0,0,327,18
2021-07-04,Angola,0,0,0,327,18
2021-07-05,Angola,0,0,0,327,18
2021-07-06,Angola,0,0,0,327,18
2021-07-07,Angola,0,0,0,327,18
2021-07-08,Angola,0,0,0,327,18
2021-07-09,Angola,0,0,0,327,18
2021-07-10,Angola,0,0,0,327,18
2021-07-11,Angola,0,0,0,327,18
2021-07-12,Angola,0,0,0,327,18
2021-07-13,Angola,0,0,0,327,18
2021-07-14,Angola,0,0,0,327,18
2021-07-15,Angola,0,0,0,327,18
2021-07-16,Angola,0,0,0,327,18
2021-07-17,Angola,0,0,0,327,18
2021-07-18,Angola,0,0,0,327,18
2021-07-19,Angola,0,0,0,327,18
2021-07-20,Angola,0,0,0,327,18
2021-07-21,Angola,0,0,0,327,18
2021-07-22,Angola,0,0,0,327,18
2021-07-23,Angola,0,0,0,327,18
2021-07-24,Angola,0,0,0,327,18
2021-07-25,Angola,0,0,0,327,18
2021-07-26,Angola,0,0,0,327,18
2021-07-27,Angola,0,0,0,327,18
2021-07-28,Angola,0,0,0,327,18
2021-07-29,Angola,0,0,0,327,18
2021-07-30,Angola,0,0,0,327,18
2021-07-31,Angola,0,0,0,327,18
2021-08-01,Angola,0,0,0,327,18
2021-08-02,Angola,0,0,0,327,18
2021-08-03,Angola,0,0,0,327,18
2021-08-04,Angola,0,0,0,327,18
2021-08-05,Angola,38,0,0,289,18
2021-08-06,Angola,49,11,0,267,18
2021-08-07,Angola,56,21,0,250,18
2021-08-08,Angola,50,38,0,239,18
2021-08-09,Angola,51,48,0,228,18
2021-08-10,Angola,49,59,0,219,18
2021-08-11,Angola,48,58,7,214,18
2021-08-12,Angola,45,58,12,212,18
2021-08-13,Angola,44,48,18,217,18
2021-08-14,Angola,42,44,25,216,18
2021-08-15,Angola,42,38,28,219,18
2021-08-16,Angola,36,36,36,219,18
2021-08-17,Angola,39,31,39,218,18
2021-08-18,Angola,39,26,42,220,18
2021-08-19,Angola,32,27,43,225,18
2021-08-20,Angola,67,25,45,190,18
2021-08-21,Angola,77,31,49,170,18
2021-08-22,Angola,81,45,53,148,18
2021-08-23,Angola,70,64,54,139,18
2021-08-24,Angola,66,74,59,128,18
2021-08-25,Angola,65,82,60,120,18
2021-08-26,Angola,61,77,60,127,20
2021-08-27,Angola,59,65,61,138,22
2021-08-28,Angola,56,52,67,146,24
2021-08-29,Angola,56,43,67,154,25
2021-08-30,Angola,55,38,70,156,26
2021-08-31,Angola,44,40,67,167,27
2021-09-01,Angola,38,41,65,173,28
2021-09-02,Angola,34,39,66,177,29
2021-09-03,Angola,28,38,68,182,29
2021-09-04,Angola,25,35,71,185,29
2021-09-05,Angola,26,26,71,192,30
2021-09-06,Angola,26,21,71,196,31
2021-09-07,Angola,22,19,74,199,31
